"id","active","taxes_id/id","supplier_taxes_id/id","name","standard_price","list_price","default_code","description","attribute_line_ids/id","seller_qty","categ_id/id","company_id/id","create_date","create_uid/id","property_account_expense/id","property_account_income/id","ean13","description_purchase","description_sale","state","message_last_post","warranty","image","image_medium","image_small","message_ids/id","weight","weight_net","seller_delay","lst_price","product_variant_ids/id","seller_ids/id","seller_id/id","rental","sale_ok","product_manager/id","message_follower_ids/id","pricelist_id/id","mes_type","type","uom_id/id","uos_coeff","uom_po_id/id","uos_id/id","packaging_ids/id","volume","color","write_uid/id","write_date"
"__export__.product_template_17","True","__export__.account_tax_1","__export__.account_tax_2","MSI B360M PRO-VDH","","74.99","0005","Placas base","","","product.product_category_all","base.main_company","2019-11-03 11:28:29","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_23","","","","74.99","__export__.product_product_7","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:28:29"
"__export__.product_template_15","True","__export__.account_tax_1","__export__.account_tax_2","MSI B450 Gaming Plus MAX","","90.99","0003","Placas base","","","product.product_category_all","base.main_company","2019-11-03 11:27:17","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_19","","","","90.99","__export__.product_product_5","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:28:50"
"__export__.product_template_33","True","__export__.account_tax_1","__export__.account_tax_2","MSI Radeon RX 580 Armor 8G OC 8GB GDDR5","","204.9","0020","Tarjetas Gráficas","","","product.product_category_all","base.main_company","2019-11-03 12:14:20","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_55","","","","204.9","__export__.product_product_23","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:14:20"
"__export__.product_template_12","True","__export__.account_tax_1","__export__.account_tax_2","MSI Z390-A PRO","","119.9","0001","Placas base","","","product.product_category_all","base.main_company","2019-10-29 08:23:27","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_13","","","","119.9","__export__.product_product_2","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-10-29 08:23:27"
"__export__.product_template_56","True","__export__.account_tax_1","__export__.account_tax_2","Newskill Hanshi Spectrum Teclado Mecánico RGB Kailh Blue","","73.99","0043","Periféricos","","","product.product_category_all","base.main_company","2019-11-03 12:49:48","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_101","","","","73.99","__export__.product_product_46","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:49:48"
"__export__.product_template_49","True","__export__.account_tax_1","__export__.account_tax_2","Nfortec Andromeda 120 Kit de Refrigeración Líquida","","89.99","0036","Ventilación","","","product.product_category_all","base.main_company","2019-11-03 12:35:28","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_87","","","","89.99","__export__.product_product_39","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:35:28"
"__export__.product_template_41","True","__export__.account_tax_1","__export__.account_tax_2","Nfortec Krater Cristal Templado USB 3.0 RGB Negro","","79.5","0028","Torres","","","product.product_category_all","base.main_company","2019-11-03 12:27:32","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_71","","","","79.5","__export__.product_product_31","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:27:32"
"__export__.product_template_46","True","__export__.account_tax_1","__export__.account_tax_2","Nfortec Scutum PSU Fuente de Alimentacion 650W 80 Plus Bronze","","45.02","0033","Fuentes de alimentación","","","product.product_category_all","base.main_company","2019-11-03 12:30:57","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_81","","","","45.02","__export__.product_product_36","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:30:57"
"__export__.product_template_51","True","__export__.account_tax_1","__export__.account_tax_2","Nfortec Vela KX CPU Cooler","","21.99","0038","Ventilación","","","product.product_category_all","base.main_company","2019-11-03 12:36:19","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_91","","","","21.99","__export__.product_product_41","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:36:19"
"__export__.product_template_42","True","__export__.account_tax_1","__export__.account_tax_2","Nox Hummer MC USB 3.0 Negra","","44.99","0029","Torres","","","product.product_category_all","base.main_company","2019-11-03 12:27:59","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_73","","","","44.99","__export__.product_product_32","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:27:59"
"__export__.product_template_43","True","__export__.account_tax_1","__export__.account_tax_2","Nox Hummer MC USB 3.0 Zero Edition Blanca","","44.99","0030","Torres","","","product.product_category_all","base.main_company","2019-11-03 12:28:36","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_75","","","","44.99","__export__.product_product_33","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:28:36"
"__export__.product_template_45","True","__export__.account_tax_1","__export__.account_tax_2","Owlotech BPS Fuente Alimentación 600W","","16.99","0032","Fuentes de alimentación","","","product.product_category_all","base.main_company","2019-11-03 12:30:10","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_79","","","","16.99","__export__.product_product_35","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:30:10"
"__export__.product_template_54","True","__export__.account_tax_1","__export__.account_tax_2","Owlotech Combo 101 Teclado + Ratón Inalámbricos","","13.95","0042","Periféricos","","","product.product_category_all","base.main_company","2019-11-03 12:46:10","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_97","","","","13.95","__export__.product_product_44","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:46:10"
"__export__.product_template_40","True","__export__.account_tax_1","__export__.account_tax_2","Owlotech Start Case USB 3.0 500W","","39.99","0027","Torres","","","product.product_category_all","base.main_company","2019-11-03 12:26:50","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_69","","","","39.99","__export__.product_product_30","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:26:50"
"__export__.product_template_61","True","__export__.account_tax_1","__export__.account_tax_2","Philips 273V7QDAB 27"" LED IPS FullHD","","149.99","0048","Monitores","","","product.product_category_all","base.main_company","2019-11-03 13:02:10","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_111","","","","149.99","__export__.product_product_51","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 13:02:10"
"__export__.product_template_18","True","__export__.account_tax_1","__export__.account_tax_2","Procesador AMD Ryzen 5 2600 3.4 Ghz","","134.99","0006","Procesadores","","","product.product_category_all","base.main_company","2019-11-03 11:39:20","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_25","","","","134.99","__export__.product_product_8","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:39:20"
"__export__.product_template_27","True","__export__.account_tax_1","__export__.account_tax_2","Samsung EVO Plus 500GB SSD NVMe M.2","","124.99","0015","Discos Duros SSD","","","product.product_category_all","base.main_company","2019-11-03 11:57:53","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_43","","","","124.99","__export__.product_product_17","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:57:53"
"__export__.product_template_28","True","__export__.account_tax_1","__export__.account_tax_2","Sapphire Pulse Radeon RX 580 8GB GDDR5","","209.9","0016","Tarjetas Gráficas","","","product.product_category_all","base.main_company","2019-11-03 12:00:16","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_45","","","","209.9","__export__.product_product_18","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:06:49"
"__export__.product_template_55","True","__export__.account_tax_1","__export__.account_tax_2","Tempest Apocalypse Combo Gaming Teclado + Ratón + Auriculares + Alfombrilla","","39.99","0041","Periféricos","","","product.product_category_all","base.main_company","2019-11-03 12:46:43","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_99","","","","39.99","__export__.product_product_45","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:46:43"
"__export__.product_template_44","True","__export__.account_tax_1","__export__.account_tax_2","Tempest Gaming GPSU Fuente de Alimentación 750W","","39.99","0031","Fuentes de alimentación","","","product.product_category_all","base.main_company","2019-11-03 12:29:35","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_77","","","","39.99","__export__.product_product_34","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:29:35"
"__export__.product_template_39","True","__export__.account_tax_1","__export__.account_tax_2","Tempest Spectra RGB USB 3.0 con Ventana","","34.99","0026","Torres","","","product.product_category_all","base.main_company","2019-11-03 12:25:51","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_67","","","","34.99","__export__.product_product_29","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:25:51"
"__export__.product_template_26","True","__export__.account_tax_1","__export__.account_tax_2","Toshiba OCT TR200 SSD 240GB SATA3","","37.99","0014","Discos Duros SSD","","","product.product_category_all","base.main_company","2019-11-03 11:56:54","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_41","","","","37.99","__export__.product_product_16","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:56:54"
